TS_MS,WHEEL_A,WHEEL_B,WHEEL_C
339916.875,0,758,709
339918.5,0,766,717
339920,0,773,724
339921.625,0,781,732
339923.25,0,788,739
339924.75,0,796,746
339926.375,0,803,754
339928,0,811,761
339929.5,0,818,770
339931.125,0,826,777
339932.75,0,831,785
339934.25,0,840,792
339935.875,0,847,800
339937.5,0,855,807
339939,0,861,815
339940.625,0,870,822
339942.25,0,877,830
339943.75,0,885,835
339945.375,0,892,842
339947,0,901,850
339948.5,0,908,857
339950.125,0,916,865
339951.75,0,923,873
339953.25,0,931,881
339954.875,0,936,887
339956.5,0,944,897
339958,0,951,904
339959.625,0,959,912
339961.25,0,966,920
339962.75,0,298,927
339964.375,0,63,934
339966,0,71,942
339967.5,0,79,950
339969.125,0,87,959
339970.75,0,94,965
339972.25,0,102,298
339973.875,0,109,63
339975.5,0,118,71
339977,0,124,78
339978.625,0,133,87
339980.25,0,141,93
339981.75,0,149,102
339983.375,0,156,108
339985,0,164,114
339986.625,0,171,122
339988.125,0,180,130
339989.75,0,187,138
339991.375,0,194,145
339992.875,0,201,154
339994.5,0,210,160
339996.125,0,217,169
339997.625,0,223,175
339999.25,0,231,184
340000.875,0,238,191
340002.375,0,246,198
340004,0,253,206
340005.625,0,263,213
340007.125,0,269,221
340008.75,0,278,229
340010.375,0,285,237
340011.875,0,293,244
340013.5,0,301,252
340015.125,0,309,261
340016.625,0,317,268
340018.25,0,323,276
340019.875,0,331,283
340021.375,0,338,292
340023,0,347,298
340024.625,0,354,306
340026.125,0,363,314
340027.75,0,370,319
340029.375,0,378,327
340030.875,0,387,334
340032.5,0,394,343
340034.125,0,403,351
340035.625,0,409,357
340037.25,0,418,365
340038.875,0,425,372
340040.375,0,431,381
340042,0,438,389
340043.625,0,447,396
340045.125,0,454,404
340046.75,0,461,412
340048.375,0,469,420
340049.875,0,476,427
340051.5,0,484,435
340053.125,0,492,441
340054.625,0,500,449
340056.25,0,507,456
340057.875,0,517,464
340059.375,0,524,471
340061,0,532,479
340062.625,0,539,487
340064.125,0,547,494
340065.75,0,554,502
340067.375,0,562,508
340069,0,569,518
340070.5,0,576,523
340072.125,0,583,531
340073.625,0,591,539
340075.25,0,599,546
340076.875,0,607,554
340078.5,0,614,561
340080,0,621,569
340081.625,0,627,575
340083.25,0,635,583
340084.75,0,643,589
340086.375,0,651,597
340088,0,658,604
340089.5,0,666,612
340091.125,0,673,619
340092.75,0,681,628
340094.25,0,687,634
340095.875,0,696,643
340097.5,0,702,649
340099,0,709,657
340100.625,0,716,665
340102.25,0,724,671
340103.75,0,731,679
340105.375,0,738,686
340107,0,746,694
340108.5,0,753,701
340110.125,0,760,708
340111.75,0,769,713
340113.25,0,776,720
340114.875,0,783,728
340116.5,0,790,735
340118,0,798,743
340119.625,0,805,749
340121.25,0,812,757
340122.75,0,819,763
340124.375,0,824,773
340126,0,832,779
340127.5,0,838,787
